date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:29:11	116/116	---M-Z	200	added ('OK')	text/plain	date:Mon,%2004%20Mar%202024%2008:29:11%20GMT	https://www.convergences.org/robots.txt		(from )
09:29:12	90823/90823	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2008:29:11%20GMT	https://www.convergences.org/	C:/My%20Web%20Sites/https___www.convergences.org_04/www.convergences.org/index.html	(from )
09:29:13	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2004%20Mar%202024%2008:29:13%20GMT	https://www.convergences.org/xmlrpc.php	C:/My%20Web%20Sites/https___www.convergences.org_04/www.convergences.org/xmlrpc.0.delayed	(from https://www.convergences.org/)
09:29:13	19900/19900	---M--	200	added ('OK')	font/otf	etag:%224dbc-5e42b7a457b6f%22	https://www.convergences.org/wp-content/uploads/et-fonts/Omnes.otf	C:/My%20Web%20Sites/https___www.convergences.org_04/www.convergences.org/wp-content/uploads/et-fonts/Omnes.otf	(from https://www.convergences.org/)
09:29:14	59240/59240	---M-Z	200	added ('OK')	text/css	etag:%22e768-60f1b0aa38aa9-gzip%22	https://www.convergences.org/wp-content/plugins/sitepress-multilingual-cms/dist/css/blocks/styles.css?ver=4.6.9	C:/My%20Web%20Sites/https___www.convergences.org_04/www.convergences.org/wp-content/plugins/sitepress-multilingual-cms/dist/css/blocks/stylesa02c.css	(from https://www.convergences.org/)
09:29:14	1716/1716	---M-Z	200	added ('OK')	text/css	etag:%226b4-60f1b0aa2fe09-gzip%22	https://www.convergences.org/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-dropdown/style.min.css?ver=1	C:/My%20Web%20Sites/https___www.convergences.org_04/www.convergences.org/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-dropdown/style.min68b3.css	(from https://www.convergences.org/)
09:29:15	258/258	---M-Z	200	added ('OK')	text/css	etag:%22102-60f1b0aa2fe09-gzip%22	https://www.convergences.org/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/menu-item/style.min.css?ver=1	C:/My%20Web%20Sites/https___www.convergences.org_04/www.convergences.org/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/menu-item/style.min68b3.css	(from https://www.convergences.org/)
09:29:15	5302/5302	---M-Z	200	added ('OK')	application/rss+xml	etag:%22922d2b1bf9b9752accb1369b9a72e358-gzip%22	https://www.convergences.org/comments/feed/	C:/My%20Web%20Sites/https___www.convergences.org_04/www.convergences.org/comments/feed/index.html	(from https://www.convergences.org/)
09:29:15	52333/52333	---M-Z	200	added ('OK')	text/css	etag:%22cc6d-5f76af869f044-gzip%22	https://www.convergences.org/wp-content/plugins/pojo-accessibility/assets/css/style.min.css?ver=1.0.0	C:/My%20Web%20Sites/https___www.convergences.org_04/www.convergences.org/wp-content/plugins/pojo-accessibility/assets/css/style.min8a54.css	(from https://www.convergences.org/)
09:29:16	17717/17717	---M-Z	200	added ('OK')	text/css	etag:%224535-601503d595f71-gzip%22	http://www.convergences.org/wp-content/uploads/pum/pum-site-styles.css?generated=1690293998&ver=1.18.2	C:/My%20Web%20Sites/https___www.convergences.org_04/www.convergences.org/wp-content/uploads/pum/pum-site-styles7643.css	(from https://www.convergences.org/)
